,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
0,KEC,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4,1,1,3,4,11
1,KEC,F,17,U,GT3,T,1,1,at_home,,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3,1,1,3,2,11
2,KEC,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,,,2,2,3,3,6,12
3,KEC,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3.0,2.0,2,1,1,5,0,14
4,KEC,F,16,U,GT3,T,3,3,,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,,3.0,2,1,2,5,0,13
5,KEC,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,2,1,2,5,6,13
6,KEC,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4,1,1,3,0,13
7,KEC,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4,1,1,1,2,13
8,KEC,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2,1,1,1,0,17
9,KEC,M,15,U,GT3,T,3,4,,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,1,1,1,5,0,13
10,KEC,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3.0,3.0,3,1,2,2,2,14
11,KEC,F,15,U,GT3,T,2,1,services,,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2,1,1,4,0,13
12,KEC,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,,3.0,3,1,3,5,0,12
13,KEC,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,3,1,2,3,0,13
14,KEC,M,15,U,GT3,A,2,2,other,,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2,1,1,3,0,15
15,KEC,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4,1,2,2,6,17
16,KEC,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3.0,2.0,3,1,2,2,10,14
17,KEC,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2,1,1,4,2,14
18,KEC,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,5,2,4,5,2,7
19,KEC,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,3,1,3,5,6,12
20,KEC,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1,1,1,1,0,14
21,KEC,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2,1,1,5,0,12
22,KEC,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1,1,3,5,0,14
23,KEC,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,2,4,5,2,10
24,KEC,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,2,10
25,KEC,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1.0,2.0,2,1,3,5,6,12
26,KEC,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2,1,2,5,8,12
27,KEC,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2.0,2.0,4,2,4,1,0,11
28,KEC,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3,1,1,5,2,13
29,KEC,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5,5,5,5,4,12
30,KEC,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2,3,4,5,0,11
31,KEC,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1,1,1,5,2,15
32,KEC,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2,1,1,5,0,15
33,KEC,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2,1,1,2,0,12
34,KEC,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5.0,4.0,3,1,1,5,4,12
35,KEC,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1,1,1,5,4,11
36,KEC,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3,1,1,4,0,14
37,KEC,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3,1,1,5,4,13
38,KEC,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,2,12
39,KEC,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4.0,3.0,1,1,1,2,8,12
40,KEC,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3,1,2,3,16,10
41,KEC,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3,2,4,5,8,11
42,KEC,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3,1,1,5,0,15
43,KEC,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1,1,1,1,0,10
44,KEC,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3,2,2,5,14,11
45,KEC,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2,1,1,5,4,11
46,KEC,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5,1,4,3,6,13
47,KEC,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2,1,1,2,2,17
48,KEC,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3.0,3,2,2,5,4,13
49,KEC,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4,1,1,3,2,12
50,KEC,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3,2,3,4,0,13
51,KEC,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3,1,1,5,0,16
52,KEC,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5.0,5.0,5,3,4,5,4,9
53,KEC,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3.0,3.0,4,2,3,5,0,12
54,KEC,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5.0,3.0,4,4,4,1,0,13
55,KEC,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,3.0,4,1,1,2,2,12
56,KEC,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,1,0,15
57,KEC,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2,1,1,5,8,16
58,KEC,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,0,14
59,KEC,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,3,1,1,5,2,16
60,KEC,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4,2,3,4,0,16
61,KEC,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5,5,5,5,0,16
62,KEC,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3,1,1,1,0,10
63,KEC,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3.0,4.0,4,2,4,4,0,13
64,KEC,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4,2,4,2,0,12
65,KEC,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3,1,2,1,2,16
66,KEC,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3,5,5,3,0,12
67,KEC,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,3,1,2,5,0,10
68,KEC,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,3,1,3,4,0,11
69,KEC,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2,2,3,3,6,15
70,KEC,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,2,1,1,5,2,11
71,KEC,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3,1,1,3,0,10
72,KEC,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4,2,4,5,2,11
73,KEC,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2,2,2,5,0,14
74,KEC,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,3,2,4,5,4,11
75,KEC,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3,2,3,5,0,11
76,KEC,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3,1,1,1,0,11
77,KEC,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5.0,2.0,3,1,3,3,1,13
78,KEC,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1,1,1,3,0,10
79,KEC,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3,1,2,3,14,11
80,KEC,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3.0,2.0,2,1,3,3,0,12
81,KEC,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5.0,3.0,2,1,2,5,2,9
82,KEC,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4,1,1,5,4,11
83,KEC,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3,1,3,4,2,13
84,KEC,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2,2,3,4,2,12
85,KEC,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4.0,4.0,4,2,3,5,4,12
86,KEC,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4,1,2,2,6,11
87,KEC,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,3,1,4,15
88,KEC,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4.0,4.0,2,1,1,3,6,11
89,KEC,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3,3,5,5,6,10
90,KEC,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,3,1,3,4,2,11
91,KEC,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,5,1,3,1,6,13
92,KEC,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3,2,3,2,0,12
93,KEC,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,1,1,2,14
94,KEC,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4,1,1,4,2,12
95,KEC,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2,1,1,1,4,13
96,KEC,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3.0,3.0,3,1,1,4,6,11
97,KEC,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4.0,3.0,5,1,1,5,0,12
98,KEC,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5.0,3.0,4,1,2,1,4,13
99,KEC,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5.0,3.0,5,1,1,3,2,13
100,KEC,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4.0,5.0,5,5,5,4,12,8
101,KEC,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,3,1,1,4,0,16
102,KEC,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5.0,3.0,3,1,1,5,2,12
103,KEC,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,5,1,1,2,16,10
104,KEC,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,1,1,1,0,16
105,KEC,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4.0,3.0,3,1,1,4,10,10
106,KEC,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5.0,1.0,2,1,1,3,4,10
107,KEC,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,1,5,4,14
108,KEC,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1.0,3.0,5,3,5,1,8,11
109,KEC,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5.0,4.0,5,1,1,4,2,14
110,KEC,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3,1,1,4,4,14
111,KEC,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2,1,1,2,4,11
112,KEC,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2,1,1,5,12,10
113,KEC,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,5.0,2,1,1,3,10,18
114,KEC,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2,1,1,5,4,10
115,KEC,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,1,2,5,6,14
116,KEC,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4.0,4.0,3,1,1,2,4,16
117,KEC,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5.0,4.0,2,1,1,5,6,15
118,KEC,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,4,1,4,5,14,11
119,KEC,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4.0,3,1,2,4,2,14
120,KEC,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3.0,2.0,3,1,2,1,0,14
121,KEC,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,4,1,2,5,6,13
122,KEC,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,2.0,2,1,2,5,2,13
123,KEC,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4,1,4,5,4,13
124,KEC,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5.0,4.0,4,1,1,5,0,11
125,KEC,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5.0,5.0,5,3,2,5,2,9
126,KEC,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2,1,1,1,0,11
127,KEC,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3.0,4.0,2,1,1,5,0,11
128,KEC,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,5.0,5,2,5,4,8,15
129,KEC,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3.0,2.0,3,2,2,1,4,13
130,KEC,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2,2,2,5,0,12
131,KEC,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5.0,4.0,5,1,3,5,10,8
132,KEC,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3.0,2.0,2,1,2,5,8,11
133,KEC,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,3,1,2,4,6,13
134,KEC,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3.0,4.0,4,1,3,5,2,12
135,KEC,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2.0,1,1,4,5,12,14
136,KEC,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3.0,2.0,1,1,1,2,4,11
137,KEC,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5.0,3.0,4,1,1,5,12,11
138,KEC,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3.0,3,1,1,5,2,11
139,KEC,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3,1,1,5,4,15
140,KEC,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5.0,4.0,5,2,4,5,2,10
141,KEC,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5.0,1.0,3,1,1,3,0,13
142,KEC,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3.0,3.0,4,4,5,4,2,12
143,KEC,F,18,U,GT3,A,3,2,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,3,5,1,5,10,11
144,KEC,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3.0,3.0,3,1,2,1,8,11
145,KEC,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,2,1,1,5,4,10
146,KEC,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4.0,4.0,4,1,3,5,0,10
147,KEC,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,6,14
148,KEC,F,15,R,GT3,T,1,1,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5.0,5.0,5,1,1,1,2,9
149,KEC,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2.0,2.0,2,1,1,3,6,11
150,KEC,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,1.0,3.0,2,2,3,1,24,9
151,KEC,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,3,5,0,13
152,KEC,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,2.0,3.0,3,2,2,2,4,11
153,KEC,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4.0,2.0,2,1,1,5,2,13
154,KEC,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4.0,4,3,3,1,4,11
155,KEC,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,5,1,2,5,22,6
156,KEC,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,2,1,2,5,0,12
157,KEC,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4.0,4.0,2,1,1,5,0,10
158,KEC,F,15,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3.0,3.0,2,1,1,3,2,11
159,KEC,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4.0,3.0,2,1,1,5,6,13
